PM2.5,NO2,CO,SO2,O3,AQI
83.13,28.71,6.93,49.52,59.76,209.0
79.84,28.68,13.85,48.49,97.07,328.0
94.52,32.66,24.39,67.39,111.33,514.0
135.99,42.08,43.48,75.23,102.7,782.0
178.33,35.31,54.56,55.04,107.38,914.0
139.7,28.4,30.61,33.79,73.6,660.0
80.65,22.83,2.37,25.73,47.3,294.0
58.36,21.39,2.6,32.66,53.54,149.0
79.29,26.94,1.16,67.41,59.3,190.0
88.7,31.32,7.29,80.09,44.76,247.0
74.28,27.3,8.92,54.28,47.42,379.0
113.93,24.27,4.32,48.73,39.94,341.0
105.39,18.21,1.41,35.91,56.15,256.0
66.52,23.8,6.34,66.58,53.14,388.0
65.04,30.1,14.19,65.91,31.88,288.0
103.36,39.56,18.18,80.43,40.11,510.0
177.33,47.58,37.49,99.72,36.47,761.0
113.25,30.5,15.55,69.71,33.78,475.0
99.7,28.1,19.85,73.23,30.57,536.0
80.61,21.04,15.96,54.7,36.2,479.0
100.79,25.93,16.24,43.11,37.43,592.0
107.99,30.09,11.25,84.86,31.94,427.0
140.29,36.14,33.84,101.53,40.98,588.0
239.96,46.25,61.95,84.87,33.55,1141.0
142.96,48.21,45.45,62.96,34.77,669.0
238.41,55.07,77.7,89.07,37.3,1247.0
118.72,32.01,12.56,61.54,38.8,411.0
52.99,10.45,2.23,32.76,67.25,292.0
60.78,18.21,9.07,29.48,34.75,189.0
91.83,28.71,12.99,39.71,38.46,408.0
93.88,29.38,18.21,62.75,46.79,383.0
173.01,42.27,48.44,78.76,59.39,780.0
71.56,16.83,3.51,30.28,57.16,190.0
119.8,24.07,4.13,50.35,50.49,233.0
106.71,25.59,5.39,38.85,60.17,297.0
118.49,28.94,4.11,54.2,53.61,330.0
106.01,27.31,4.28,70.29,40.91,252.0
97.34,21.58,3.67,64.39,45.69,244.0
83.92,25.03,6.42,67.53,34.94,234.0
49.51,14.16,3.1,48.33,37.95,219.0
30.76,14.14,2.72,43.62,54.78,118.0
50.29,29.84,5.34,59.23,45.44,231.0
57.69,29.48,25.36,58.33,52.87,286.0
105.06,37.05,46.24,53.62,45.65,883.0
94.1,36.53,22.14,61.31,46.77,720.0
111.89,43.29,22.25,66.44,50.57,570.0
108.59,39.34,25.38,75.8,46.68,589.0
130.76,41.03,45.61,65.77,41.58,818.0
